code,problem_name,score,contest_name,link,time_limit,memory_limit
arc003_3,C - 暗闇帰り道,No Score,arc003,https://beta.atcoder.jp/contests/arc003/tasks/arc003_3,5,64 MB
arc003_4,D - シャッフル席替え,No Score,arc003,https://beta.atcoder.jp/contests/arc003/tasks/arc003_4,10,64 MB
arc004_1,A - 2点間距離の最大値 ( The longest distance ),No Score,arc004,https://beta.atcoder.jp/contests/arc004/tasks/arc004_1,2,64 MB
arc004_2,B - 2点間距離の最大と最小 ( Maximum and Minimum ),No Score,arc004,https://beta.atcoder.jp/contests/arc004/tasks/arc004_2,2,64 MB
arc004_3,C - 平均値太郎の憂鬱 ( The melancholy of Taro Heikinchi ),No Score,arc004,https://beta.atcoder.jp/contests/arc004/tasks/arc004_3,2,64 MB
arc004_4,D - 表現の自由 ( Freedom of expression ),No Score,arc004,https://beta.atcoder.jp/contests/arc004/tasks/arc004_4,2,64 MB
arc005_1,A - 大好き高橋君,No Score,arc005,https://beta.atcoder.jp/contests/arc005/tasks/arc005_1,2,64 MB
arc005_2,B - P-CASカードと高橋君,No Score,arc005,https://beta.atcoder.jp/contests/arc005/tasks/arc005_2,2,64 MB
arc005_3,C - 器物損壊！高橋君,No Score,arc005,https://beta.atcoder.jp/contests/arc005/tasks/arc005_3,2,64 MB
arc005_4,D - 連射王高橋君,No Score,arc005,https://beta.atcoder.jp/contests/arc005/tasks/arc005_4,2,64 MB
arc006_1,A - 宝くじ,No Score,arc006,https://beta.atcoder.jp/contests/arc006/tasks/arc006_1,2,64 MB
arc006_2,B - あみだくじ,No Score,arc006,https://beta.atcoder.jp/contests/arc006/tasks/arc006_2,2,64 MB
arc006_3,C - 積み重ね,No Score,arc006,https://beta.atcoder.jp/contests/arc006/tasks/arc006_3,2,64 MB
arc006_4,D - アルファベット探し,No Score,arc006,https://beta.atcoder.jp/contests/arc006/tasks/arc006_4,2,64 MB
arc007_1,A - 帰ってきた器物損壊！高橋君,No Score,arc007,https://beta.atcoder.jp/contests/arc007/tasks/arc007_1,2,64 MB
arc007_2,B - 迷子のCDケース,No Score,arc007,https://beta.atcoder.jp/contests/arc007/tasks/arc007_2,2,64 MB
arc007_3,C - 節約生活,No Score,arc007,https://beta.atcoder.jp/contests/arc007/tasks/arc007_3,2,64 MB
arc007_4,D - 破れた宿題,No Score,arc007,https://beta.atcoder.jp/contests/arc007/tasks/arc007_4,2,64 MB
arc008_1,A - たこ焼き買えるかな？,No Score,arc008,https://beta.atcoder.jp/contests/arc008/tasks/arc008_1,2,64 MB
arc008_2,B - 謎のたこ焼きおじさん,No Score,arc008,https://beta.atcoder.jp/contests/arc008/tasks/arc008_2,2,64 MB
arc008_3,C - THE☆たこ焼き祭り2012,No Score,arc008,https://beta.atcoder.jp/contests/arc008/tasks/arc008_3,2,64 MB
arc008_4,D - タコヤキオイシクナール,No Score,arc008,https://beta.atcoder.jp/contests/arc008/tasks/arc008_4,2,256 MB
